ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std
canonical,8,2,0.03125,2,0.99,200,1.0,0.16690666447261485,0.13917519043876825
canonical,8,3,0.046875,3,0.99,200,1.0,0.20985686326547345,0.166099381413401
canonical,8,4,0.0625,4,0.99,200,1.0,0.2875265149180567,0.2144924245918364
canonical,8,5,0.078125,5,0.99,200,1.0,0.39918458302252796,0.2629533967323128
canonical,8,6,0.09375,6,0.99,200,0.99,0.4541256504958446,0.3034906894388962
canonical,8,7,0.109375,7,0.99,200,0.9,0.6481527917949224,0.2903485870861782
canonical,8,7,0.109375,7,0.99,200,0.925,0.6308695947534121,0.3247795663156404
canonical,8,8,0.125,8,0.99,200,0.765,0.7114976405749832,0.3168339094572725
canonical,8,8,0.125,8,0.99,200,0.745,0.7352064937906507,0.2836476428255691
canonical,8,9,0.140625,8,0.99,200,0.645,0.767695660365421,0.29466187867809546
canonical,8,9,0.140625,8,0.99,200,0.61,0.8000552647410669,0.28995415278330655
canonical,8,10,0.15625,8,0.99,200,0.5,0.8774353280785807,0.22596849011658396
canonical,8,10,0.15625,8,0.99,200,0.42,0.8951934873741013,0.1924553427939778
canonical,8,11,0.171875,8,0.99,200,0.39,0.8893975043254028,0.21494653106790276
canonical,8,11,0.171875,8,0.99,200,0.335,0.880640088606404,0.25067744268217407
canonical,8,12,0.1875,8,0.99,200,0.27,0.9265444143147061,0.19134148575277565
canonical,8,12,0.1875,8,0.99,200,0.235,0.9245669834328808,0.2093311762783016
canonical,8,13,0.203125,8,0.99,200,0.21,0.9479481459834989,0.17046562270947338
canonical,8,13,0.203125,8,0.99,200,0.21,0.9443576624803278,0.1703603527725191
canonical,8,14,0.21875,8,0.99,200,0.155,0.9505980993111954,0.17463517991672275
canonical,8,14,0.21875,8,0.99,200,0.18,0.9641268764171451,0.13017877359541782
canonical,8,15,0.234375,8,0.99,200,0.125,0.9764793221822865,0.10098444430687545
canonical,8,15,0.234375,8,0.99,200,0.08,0.9810329225418046,0.10401435525223893
canonical,8,16,0.25,8,0.99,200,0.1,0.9712617831133741,0.12929842436798053
canonical,8,18,0.28125,8,0.99,200,0.03,0.994796261548657,0.033286186744686704
canonical,8,20,0.3125,8,0.99,200,0.0,1.0,3.356474311340335e-16
canonical,8,23,0.359375,8,0.99,200,0.0,1.0,3.406594116254493e-16
canonical,8,26,0.40625,8,0.99,200,0.0,1.0,3.357392258659928e-16
canonical,16,5,0.01953125,5,0.99,200,1.0,0.12302152420017812,0.11180668655494277
canonical,16,9,0.03515625,9,0.99,200,1.0,0.2478581001603185,0.2096142967485462
canonical,16,12,0.046875,12,0.99,200,1.0,0.4192845956113189,0.2996347553520225
canonical,16,15,0.05859375,15,0.99,200,0.895,0.7015482117455947,0.3145514529885826
canonical,16,17,0.06640625,16,0.99,200,0.615,0.760585873164111,0.3194228211644936
canonical,16,19,0.07421875,16,0.99,200,0.565,0.8203243507298484,0.29746575418583454
canonical,16,20,0.078125,16,0.99,200,0.53,0.8443972035461542,0.2831792628193383
canonical,16,22,0.0859375,16,0.99,200,0.49,0.8969855911214176,0.21997368645600368
canonical,16,23,0.08984375,16,0.99,200,0.495,0.8997191952118058,0.21842535262212265
canonical,16,25,0.09765625,16,0.99,200,0.365,0.9318292524229799,0.1874078287657261
canonical,16,27,0.10546875,16,0.99,200,0.295,0.9446893560189477,0.17796826597202514
canonical,16,28,0.109375,16,0.99,200,0.275,0.9430133038143563,0.1841042958252531
canonical,16,30,0.1171875,16,0.99,200,0.19,0.9712678486933868,0.12142312842278186
canonical,16,32,0.125,16,0.99,200,0.165,0.9752840549647604,0.1103015625124732
canonical,16,33,0.12890625,16,0.99,200,0.135,0.9833970634554242,0.07570504827475213
canonical,16,35,0.13671875,16,0.99,200,0.1,0.9917246592793325,0.032767741820603324
canonical,16,36,0.140625,16,0.99,200,0.1,0.9858476093379425,0.07489289949526294
canonical,16,38,0.1484375,16,0.99,200,0.095,0.9727242085866075,0.1394784139763876
canonical,16,40,0.15625,16,0.99,200,0.035,0.9968890728832694,0.019518002413542283
canonical,16,41,0.16015625,16,0.99,200,0.035,0.9922873496289859,0.07029187434619448
canonical,16,43,0.16796875,16,0.99,200,0.05,0.9911373674745613,0.07322631111450281
canonical,16,44,0.171875,16,0.99,200,0.04,0.993596459624861,0.06504541869046562
canonical,16,46,0.1796875,16,0.99,200,0.02,0.998000427610759,0.01829795745234583
canonical,16,51,0.19921875,16,0.99,200,0.005,0.9999074687854194,0.001000784599096308
canonical,16,60,0.234375,16,0.99,200,0.0,1.0,3.203334940916293e-16
canonical,16,68,0.265625,16,0.99,200,0.0,1.0,3.0566438042747734e-16
canonical,16,77,0.30078125,16,0.99,200,0.0,1.0,3.402973930198639e-16
canonical,32,10,0.009765625,10,0.99,200,1.0,0.06425602470944225,0.07217755054973983
canonical,32,17,0.0166015625,17,0.99,200,1.0,0.14339647339992936,0.14918704813464526
canonical,32,24,0.0234375,24,0.99,200,1.0,0.4070012075309461,0.3297202041666079
canonical,32,31,0.0302734375,31,0.99,200,0.735,0.6886236002531774,0.39526219991160544
canonical,32,36,0.03515625,32,0.99,200,0.425,0.8141059890906395,0.336113529759945
canonical,32,40,0.0390625,32,0.99,200,0.5,0.8462660673091605,0.299672607572635
canonical,32,45,0.0439453125,32,0.99,200,0.625,0.8942651746855296,0.22364018864867588
canonical,32,50,0.048828125,32,0.99,200,0.55,0.9079313617714707,0.228221775377888
canonical,32,55,0.0537109375,32,0.99,200,0.41,0.9251028779323371,0.21844901234622083
canonical,32,60,0.05859375,32,0.99,200,0.35,0.9668230050179497,0.12244696732261064
canonical,32,65,0.0634765625,32,0.99,200,0.325,0.9588964870160946,0.15092129117495176
canonical,32,70,0.068359375,32,0.99,200,0.225,0.9662459652228069,0.1540469765898563
canonical,32,74,0.072265625,32,0.99,200,0.195,0.9674347196681827,0.14909351669467524
canonical,32,79,0.0771484375,32,0.99,200,0.1,0.9864149039983658,0.09775622943919984
canonical,32,84,0.08203125,32,0.99,200,0.125,0.9958030623031948,0.013141875730492868
canonical,32,89,0.0869140625,32,0.99,200,0.065,0.9928952633769437,0.07046178210082421
canonical,32,94,0.091796875,32,0.99,200,0.04,0.9984781681138313,0.008380152037284235
canonical,32,99,0.0966796875,32,0.99,200,0.04,0.99821350584293,0.010575009473950932
canonical,32,103,0.1005859375,32,0.99,200,0.01,0.9988743322219966,0.011841754256178543
canonical,32,108,0.10546875,32,0.99,200,0.0,0.9999053074496684,0.0007336027427775032
canonical,32,113,0.1103515625,32,0.99,200,0.005,0.9994967108766805,0.006784376903601374
canonical,32,118,0.115234375,32,0.99,200,0.01,0.9996825932224342,0.0031924165809547214
canonical,32,123,0.1201171875,32,0.99,200,0.005,0.9997731298813065,0.0028527013210654004
canonical,32,143,0.1396484375,32,0.99,200,0.005,0.9998728959996421,0.001793022575011369
canonical,32,164,0.16015625,32,0.99,200,0.0,1.0,3.080743865682491e-16
canonical,32,184,0.1796875,32,0.99,200,0.0,1.0,2.9852408677807924e-16
canonical,32,205,0.2001953125,32,0.99,200,0.0,1.0,3.313043908409868e-16
canonical,64,20,0.0048828125,20,0.99,200,1.0,0.039653899080353654,0.047007347526633145
canonical,64,41,0.010009765625,41,0.99,200,1.0,0.24256502260134646,0.26897105107323294
canonical,64,61,0.014892578125,61,0.99,200,0.905,0.720192935868733,0.40147830768791715
