ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std
canonical,8,2,0.03125,2,0.99,200,1.0,0.1669066644726148,0.1391751904387682
canonical,8,3,0.046875,3,0.99,200,1.0,0.2098568632654734,0.166099381413401
canonical,8,4,0.0625,4,0.99,200,1.0,0.2875265149180567,0.2144924245918364
canonical,8,5,0.078125,5,0.99,200,1.0,0.3991845830225279,0.2629533967323128
canonical,8,6,0.09375,6,0.99,200,0.99,0.4541256504958446,0.3034906894388962
canonical,8,7,0.109375,7,0.99,200,0.925,0.6308695947534121,0.3247795663156404
canonical,8,8,0.125,8,0.99,200,0.745,0.7352064937906507,0.2836476428255691
canonical,8,9,0.140625,8,0.99,200,0.61,0.8000552647410669,0.2899541527833065
canonical,8,10,0.15625,8,0.99,200,0.42,0.8951934873741013,0.1924553427939778
canonical,8,11,0.171875,8,0.99,200,0.335,0.880640088606404,0.250677442682174
canonical,8,12,0.1875,8,0.99,200,0.235,0.9245669834328808,0.2093311762783016
canonical,8,13,0.203125,8,0.99,200,0.21,0.9443576624803278,0.1703603527725191
canonical,8,14,0.21875,8,0.99,200,0.18,0.9641268764171452,0.1301787735954178
canonical,8,15,0.234375,8,0.99,200,0.08,0.9810329225418046,0.1040143552522389
canonical,8,16,0.25,8,0.99,200,0.1,0.971261783113374,0.1292984243679805
canonical,8,18,0.28125,8,0.99,200,0.03,0.994796261548657,0.0332861867446867
canonical,8,20,0.3125,8,0.99,200,0.0,1.0,3.356474311340335e-16
canonical,8,22,0.34375,8,0.99,200,0.005,0.9985275456927412,0.020771524154625354
canonical,8,23,0.359375,8,0.99,200,0.0,1.0,3.4065941162544933e-16
canonical,8,26,0.40625,8,0.99,200,0.0,1.0,3.357392258659928e-16
canonical,16,4,0.015625,4,0.99,200,1.0,0.1078129663649338,0.10789911931101684
canonical,16,5,0.01953125,5,0.99,200,1.0,0.1230215242001781,0.1118066865549427
canonical,16,8,0.03125,8,0.99,200,1.0,0.18781889610967745,0.16913998189867638
canonical,16,9,0.03515625,9,0.99,200,1.0,0.2478581001603185,0.2096142967485462
canonical,16,12,0.046875,12,0.99,200,1.0,0.4192845956113189,0.2996347553520225
canonical,16,15,0.05859375,15,0.99,200,0.895,0.7015482117455947,0.3145514529885826
canonical,16,16,0.0625,16,0.99,200,0.66,0.6727547396565425,0.37098615078269886
canonical,16,17,0.06640625,16,0.99,200,0.615,0.760585873164111,0.3194228211644936
canonical,16,18,0.0703125,16,0.99,200,0.56,0.7929378900197902,0.3082643300345556
canonical,16,19,0.07421875,16,0.99,200,0.565,0.8203243507298484,0.2974657541858345
canonical,16,20,0.078125,16,0.99,200,0.53,0.8443972035461542,0.2831792628193383
canonical,16,21,0.08203125,16,0.99,200,0.5,0.8715146348649668,0.26345575565745194
canonical,16,22,0.0859375,16,0.99,200,0.49,0.8969855911214176,0.2199736864560036
canonical,16,23,0.08984375,16,0.99,200,0.495,0.8997191952118058,0.2184253526221226
canonical,16,24,0.09375,16,0.99,200,0.46,0.915480182940451,0.19950580678171295
canonical,16,25,0.09765625,16,0.99,200,0.365,0.93182925242298,0.1874078287657261
canonical,16,26,0.1015625,16,0.99,200,0.325,0.9342660054428257,0.19849224363503676
canonical,16,27,0.10546875,16,0.99,200,0.295,0.9446893560189475,0.1779682659720251
canonical,16,28,0.109375,16,0.99,200,0.275,0.9430133038143564,0.1841042958252531
canonical,16,29,0.11328125,16,0.99,200,0.215,0.9761253164763042,0.07860901106558027
canonical,16,30,0.1171875,16,0.99,200,0.19,0.9712678486933868,0.1214231284227818
canonical,16,32,0.125,16,0.99,200,0.165,0.9752840549647604,0.1103015625124732
canonical,16,33,0.12890625,16,0.99,200,0.135,0.9833970634554242,0.0757050482747521
canonical,16,34,0.1328125,16,0.99,200,0.135,0.983452696630789,0.09243356130826554
canonical,16,35,0.13671875,16,0.99,200,0.1,0.9917246592793324,0.0327677418206033
canonical,16,36,0.140625,16,0.99,200,0.1,0.9858476093379424,0.0748928994952629
canonical,16,37,0.14453125,16,0.99,200,0.08,0.9865129465441327,0.09905145879122876
canonical,16,38,0.1484375,16,0.99,200,0.095,0.9727242085866076,0.1394784139763876
canonical,16,40,0.15625,16,0.99,200,0.035,0.9968890728832694,0.0195180024135422
canonical,16,41,0.16015625,16,0.99,200,0.035,0.992287349628986,0.0702918743461944
canonical,16,43,0.16796875,16,0.99,200,0.05,0.9911373674745612,0.0732263111145028
canonical,16,44,0.171875,16,0.99,200,0.04,0.993596459624861,0.0650454186904656
canonical,16,46,0.1796875,16,0.99,200,0.02,0.998000427610759,0.0182979574523458
canonical,16,51,0.19921875,16,0.99,200,0.005,0.9999074687854194,0.0010007845990963
canonical,16,52,0.203125,16,0.99,200,0.015,0.9988526480920601,0.010746303961987039
canonical,16,58,0.2265625,16,0.99,200,0.0,1.0,3.472886937942355e-16
canonical,16,60,0.234375,16,0.99,200,0.0,1.0,3.203334940916293e-16
canonical,16,64,0.25,16,0.99,200,0.01,0.9982946323219991,0.01770117912681767
canonical,16,68,0.265625,16,0.99,200,0.0,1.0,3.0566438042747734e-16
canonical,16,77,0.30078125,16,0.99,200,0.0,1.0,3.4029739301986393e-16
canonical,32,10,0.009765625,10,0.99,200,1.0,0.0642560247094422,0.0721775505497398
canonical,32,11,0.0107421875,11,0.99,200,1.0,0.08279966059755943,0.09285834551466289
canonical,32,17,0.0166015625,17,0.99,200,1.0,0.1433964733999293,0.1491870481346452
canonical,32,22,0.021484375,22,0.99,200,1.0,0.2942005604500284,0.26635167340481425
canonical,32,24,0.0234375,24,0.99,200,1.0,0.4070012075309461,0.3297202041666079
