ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std
canonical,8,22,0.34375,8,0.99,200,0.005,0.9985275456927412,0.020771524154625354
canonical,16,4,0.015625,4,0.99,200,1.0,0.1078129663649338,0.10789911931101684
canonical,16,8,0.03125,8,0.99,200,1.0,0.18781889610967745,0.16913998189867638
canonical,16,16,0.0625,16,0.99,200,0.66,0.6727547396565425,0.37098615078269886
canonical,16,18,0.0703125,16,0.99,200,0.56,0.7929378900197902,0.3082643300345556
canonical,16,21,0.08203125,16,0.99,200,0.5,0.8715146348649668,0.26345575565745194
canonical,16,24,0.09375,16,0.99,200,0.46,0.915480182940451,0.19950580678171295
canonical,16,26,0.1015625,16,0.99,200,0.325,0.9342660054428257,0.19849224363503676
canonical,16,29,0.11328125,16,0.99,200,0.215,0.9761253164763042,0.07860901106558027
canonical,16,34,0.1328125,16,0.99,200,0.135,0.983452696630789,0.09243356130826554
canonical,16,37,0.14453125,16,0.99,200,0.08,0.9865129465441327,0.09905145879122876
canonical,16,52,0.203125,16,0.99,200,0.015,0.9988526480920601,0.010746303961987039
canonical,16,58,0.2265625,16,0.99,200,0.0,1.0,3.472886937942355e-16
canonical,16,64,0.25,16,0.99,200,0.01,0.9982946323219991,0.01770117912681767
canonical,32,11,0.0107421875,11,0.99,200,1.0,0.08279966059755943,0.09285834551466289
canonical,32,22,0.021484375,22,0.99,200,1.0,0.2942005604500284,0.26635167340481425
canonical,32,34,0.033203125,32,0.99,200,0.4,0.8146768463670929,0.3283697547487912
canonical,32,38,0.037109375,32,0.99,200,0.42,0.8600061680048053,0.2782394897081671
canonical,32,42,0.041015625,32,0.99,200,0.535,0.8544125382827886,0.3016592075117837
canonical,32,46,0.044921875,32,0.99,200,0.62,0.8739511844376687,0.25803949030462536
canonical,32,53,0.0517578125,32,0.99,200,0.455,0.9456594363551912,0.16616953434470866
canonical,32,57,0.0556640625,32,0.99,200,0.435,0.948156384022702,0.15741937788692223
canonical,32,61,0.0595703125,32,0.99,200,0.35,0.967037596860441,0.12093262922109702
canonical,32,68,0.06640625,32,0.99,200,0.195,0.9866297225142026,0.072362448577839
canonical,32,69,0.0673828125,32,0.99,200,0.14,0.9886092968446727,0.06739092443605202
canonical,32,72,0.0703125,32,0.99,200,0.135,0.9781823427748606,0.1194101659817994
canonical,32,76,0.07421875,32,0.99,200,0.1,0.991602535252512,0.0710449637403448
canonical,32,80,0.078125,32,0.99,200,0.13,0.9908584531015362,0.06954602422875789
canonical,32,87,0.0849609375,32,0.99,200,0.075,0.9917793400636847,0.06844610246671466
canonical,32,91,0.0888671875,32,0.99,200,0.055,0.9923111877450682,0.07150802334646619
canonical,32,92,0.08984375,32,0.99,200,0.055,0.9928041374190183,0.07111785105269385
canonical,32,95,0.0927734375,32,0.99,200,0.08,0.9972053121804272,0.011987985873794368
canonical,32,102,0.099609375,32,0.99,200,0.035,0.9978912053342235,0.014176029957414444
canonical,64,15,0.003662109375,15,0.99,200,1.0,0.025168624313603796,0.0265376817501638
canonical,64,42,0.01025390625,42,0.99,200,1.0,0.26492896106942637,0.2747764440779022
canonical,64,70,0.01708984375,64,0.99,200,0.34,0.7944830354284278,0.3662489264558816
canonical,64,91,0.022216796875,64,0.99,200,0.56,0.8827594169952448,0.25859789474922146
canonical,64,97,0.023681640625,64,0.99,200,0.7,0.8805305347567799,0.2659120326629007
canonical,64,99,0.024169921875,64,0.99,200,0.595,0.9371259313759174,0.16660788616821307
canonical,64,108,0.0263671875,64,0.99,200,0.56,0.9538285877137599,0.13851160398331344
canonical,64,116,0.0283203125,64,0.99,200,0.655,0.9182948343616877,0.22041819044848762
canonical,64,124,0.0302734375,64,0.99,200,0.5,0.9567339203299485,0.15350051721734917
canonical,64,134,0.03271484375,64,0.99,200,0.415,0.9720435840913084,0.11949236734416324
canonical,64,142,0.03466796875,64,0.99,200,0.275,0.9867013534344098,0.06902406211970219
canonical,64,151,0.036865234375,64,0.99,200,0.2,0.9881698285427194,0.07122791105820256
canonical,64,152,0.037109375,64,0.99,200,0.245,0.9824648041002277,0.09723031228279364
canonical,64,160,0.0390625,64,0.99,200,0.205,0.9842972004383842,0.09945744686117011
canonical,64,177,0.043212890625,64,0.99,200,0.11,0.9921046685939501,0.06831614470035086
canonical,64,185,0.045166015625,64,0.99,200,0.075,0.9878733125554012,0.09838180351012597
canonical,64,194,0.04736328125,64,0.99,200,0.035,0.9936740180482053,0.07056964919210522
