ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std,nx,ny
GEO2,8,2,0.03125,2,0.99,200,1.0,0.3425545691462847,0.150009941870443,3,1
GEO2,8,3,0.046875,3,0.99,200,1.0,0.6541698146471677,0.1244695486771954,3,1
GEO2,8,4,0.0625,4,0.99,200,0.99,0.8828694931277945,0.0686371681008526,3,1
GEO2,8,5,0.078125,5,0.99,200,0.47,0.985527959147245,0.0150559037861358,3,1
GEO2,8,6,0.09375,6,0.99,200,0.0,0.9999977073310152,3.2110167388847394e-05,3,1
GEO2,8,7,0.109375,7,0.99,200,0.0,0.9999999998829728,3.056584826686895e-10,3,1
GEO2,8,8,0.125,8,0.99,200,0.0,1.0,3.3518808039035897e-16,3,1
GEO2,8,9,0.140625,8,0.99,200,0.0,1.0,3.4038793376724763e-16,3,1
GEO2,8,10,0.15625,8,0.99,200,0.0,1.0,3.3009303617866928e-16,3,1
GEO2,8,11,0.171875,8,0.99,200,0.0,1.0,3.322331966747472e-16,3,1
GEO2,8,12,0.1875,8,0.99,200,0.0,1.0,3.481748618431695e-16,3,1
GEO2,8,13,0.203125,8,0.99,200,0.0,1.0,3.385725185095924e-16,3,1
GEO2,8,14,0.21875,8,0.99,200,0.0,1.0,3.3315941312669697e-16,3,1
GEO2,8,15,0.234375,8,0.99,200,0.0,1.0,3.47820665554289e-16,3,1
GEO2,8,16,0.25,8,0.99,200,0.0,1.0,3.502925186423478e-16,3,1
GEO2,8,18,0.28125,8,0.99,200,0.0,1.0,3.469335927874738e-16,3,1
GEO2,8,20,0.3125,8,0.99,200,0.0,1.0,3.6972260376237274e-16,3,1
GEO2,8,23,0.359375,8,0.99,200,0.0,1.0,3.21773202442742e-16,3,1
GEO2,8,26,0.40625,8,0.99,200,0.0,1.0,3.2167742235357056e-16,3,1
GEO2,16,2,0.0078125,2,0.99,200,1.0,0.18684411484129926,0.0886837635716766,2,2
GEO2,16,3,0.01171875,3,0.99,200,1.0,0.3476125473170907,0.0891154392513165,2,2
GEO2,16,4,0.015625,4,0.99,200,1.0,0.5074226621716591,0.09184536254994453,2,2
GEO2,16,5,0.01953125,5,0.99,200,1.0,0.6708102134157932,0.0818802239446074,2,2
GEO2,16,6,0.0234375,6,0.99,200,1.0,0.7938592133647088,0.05787084716188188,2,2
GEO2,16,7,0.02734375,7,0.99,200,1.0,0.8778010913342975,0.03945681882163826,2,2
GEO2,16,8,0.03125,8,0.99,200,1.0,0.9346466630906284,0.0261085930854027,2,2
GEO2,16,9,0.03515625,9,0.99,200,0.9,0.9752665774919842,0.013154670885402633,2,2
GEO2,16,10,0.0390625,10,0.99,200,0.14,0.995128543124898,0.0043042150302314,2,2
GEO2,16,11,0.04296875,11,0.99,200,0.0,0.9999351765127805,0.00017397611683995132,2,2
GEO2,16,12,0.046875,12,0.99,200,0.0,0.9999998756826588,2.241194579687002e-07,2,2
GEO2,16,13,0.05078125,13,0.99,200,0.0,0.9999999749065284,7.926503648560102e-08,2,2
GEO2,16,14,0.0546875,14,0.99,200,0.0,0.9999999972307105,5.819415134154719e-09,2,2
GEO2,16,15,0.05859375,15,0.99,200,0.0,0.9999999998697672,4.063494210720707e-10,2,2
GEO2,16,16,0.0625,16,0.99,200,0.0,1.0,3.21773202442742e-16,2,2
GEO2,16,18,0.0703125,16,0.99,200,0.0,1.0,3.2539195537479515e-16,2,2
GEO2,16,19,0.07421875,16,0.99,200,0.0,1.0,3.156823071418054e-16,2,2
GEO2,16,20,0.078125,16,0.99,200,0.0,1.0,3.050589040050974e-16,2,2
GEO2,16,21,0.08203125,16,0.99,200,0.0,1.0,3.3176911878838166e-16,2,2
GEO2,16,22,0.0859375,16,0.99,200,0.0,1.0,3.30745855365105e-16,2,2
GEO2,16,24,0.09375,16,0.99,200,0.0,1.0,3.344518069468464e-16,2,2
GEO2,16,25,0.09765625,16,0.99,200,0.0,1.0,3.132324617386636e-16,2,2
GEO2,16,27,0.10546875,16,0.99,200,0.0,1.0,3.2775092460303216e-16,2,2
GEO2,16,28,0.109375,16,0.99,200,0.0,1.0,3.212940164695817e-16,2,2
GEO2,16,30,0.1171875,16,0.99,200,0.0,1.0,3.1254306387971663e-16,2,2
GEO2,16,31,0.12109375,16,0.99,200,0.0,1.0,3.0586593955286094e-16,2,2
GEO2,16,32,0.125,16,0.99,200,0.0,1.0,3.062686598583602e-16,2,2
GEO2,16,34,0.1328125,16,0.99,200,0.0,1.0,3.477320601100914e-16,2,2
GEO2,16,35,0.13671875,16,0.99,200,0.0,1.0000000000000002,2.7555010819726133e-16,2,2
GEO2,16,37,0.14453125,16,0.99,200,0.0,1.0,3.346360271794587e-16,2,2
GEO2,16,38,0.1484375,16,0.99,200,0.0,1.0,3.242535543737153e-16,2,2
GEO2,16,44,0.171875,16,0.99,200,0.0,1.0,3.286897719131923e-16,2,2
GEO2,16,50,0.1953125,16,0.99,200,0.0,1.0,3.136257229879987e-16,2,2
GEO2,16,57,0.22265625,16,0.99,200,0.0,1.0,3.536195405081207e-16,2,2
GEO2,16,64,0.25,16,0.99,200,0.0,1.0,3.1994847773363504e-16,2,2
GEO2,32,5,0.0048828125,5,0.99,200,1.0,0.36321703950761,0.0614400717616003,5,1
GEO2,32,9,0.0087890625,9,0.99,200,1.0,0.667766788340624,0.05261162612928753,5,1
GEO2,32,10,0.009765625,10,0.99,200,1.0,0.7276681044165432,0.0475682298802445,5,1
GEO2,32,12,0.01171875,12,0.99,200,1.0,0.8190422073046526,0.03523806665551255,5,1
GEO2,32,15,0.0146484375,15,0.99,200,1.0,0.9215656535850926,0.0215221807896792,5,1
