ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std,nx,ny
GEO2,16,2,0.0078125,2,0.99,200,1.0,0.18684411484129926,0.0886837635716766,2,2
GEO2,16,4,0.015625,4,0.99,200,1.0,0.5074226621716591,0.09184536254994453,2,2
GEO2,16,6,0.0234375,6,0.99,200,1.0,0.7938592133647088,0.05787084716188188,2,2
GEO2,16,7,0.02734375,7,0.99,200,1.0,0.8778010913342975,0.03945681882163826,2,2
GEO2,16,9,0.03515625,9,0.99,200,0.9,0.9752665774919842,0.013154670885402633,2,2
GEO2,16,11,0.04296875,11,0.99,200,0.0,0.9999351765127805,0.00017397611683995132,2,2
GEO2,16,14,0.0546875,14,0.99,200,0.0,0.9999999972307105,5.819415134154719e-09,2,2
GEO2,16,20,0.078125,16,0.99,200,0.0,1.0,3.050589040050974e-16,2,2
GEO2,32,9,0.0087890625,9,0.99,200,1.0,0.667766788340624,0.05261162612928753,5,1
GEO2,32,12,0.01171875,12,0.99,200,1.0,0.8190422073046526,0.03523806665551255,5,1
GEO2,32,17,0.0166015625,17,0.99,200,0.995,0.9666495190365691,0.012160202222813166,5,1
GEO2,32,18,0.017578125,18,0.99,200,0.88,0.9816142729833771,0.007856243551766154,5,1
GEO2,32,19,0.0185546875,19,0.99,200,0.36,0.9908810136775371,0.0041434754668301455,5,1
GEO2,32,21,0.0205078125,21,0.99,200,0.0,0.9990800458034853,0.0009472518659286856,5,1
GEO2,32,22,0.021484375,22,0.99,200,0.0,0.9999136564536716,0.00018368060233229806,5,1
GEO2,32,23,0.0224609375,23,0.99,200,0.0,0.9999927957291885,1.125450016048827e-05,5,1
GEO2,32,26,0.025390625,26,0.99,200,0.0,0.9999995477214366,3.657238110076036e-07,5,1
GEO2,32,27,0.0263671875,27,0.99,200,0.0,0.9999997639514023,2.7170693571292687e-07,5,1
GEO2,32,30,0.029296875,30,0.99,200,0.0,0.9999999957178771,9.453492661540034e-09,5,1
GEO2,32,32,0.03125,32,0.99,200,0.0,1.0,2.976971486610563e-16,5,1
GEO2,32,33,0.0322265625,32,0.99,200,0.0,1.0,3.370217268963258e-16,5,1
GEO2,32,36,0.03515625,32,0.99,200,0.0,1.0,3.289709036298006e-16,5,1
GEO2,32,37,0.0361328125,32,0.99,200,0.0,1.0,3.169487433312179e-16,5,1
GEO2,32,40,0.0390625,32,0.99,200,0.0,1.0,3.3435965876850375e-16,5,1
GEO2,32,41,0.0400390625,32,0.99,200,0.0,1.0000000000000002,2.6413043426588164e-16,5,1
GEO2,32,61,0.0595703125,32,0.99,200,0.0,1.0,3.3957219796436895e-16,5,1
GEO2,32,72,0.0703125,32,0.99,200,0.0,1.0,3.0536179228490984e-16,5,1
GEO2,64,26,0.00634765625,26,0.99,100,1.0,0.8785070472304252,0.020039826651582125,3,2
GEO2,64,27,0.006591796875,27,0.99,100,1.0,0.8924754029502234,0.018613811212844698,3,2
GEO2,64,28,0.0068359375,28,0.99,100,1.0,0.9051740234536524,0.016612496143750637,3,2
GEO2,64,29,0.007080078125,29,0.99,100,1.0,0.9207104413804648,0.013867890383278942,3,2
GEO2,64,30,0.00732421875,30,0.99,100,1.0,0.9345073481908613,0.011517014188698303,3,2
GEO2,64,31,0.007568359375,31,0.99,100,1.0,0.9441138068689362,0.012852276133234225,3,2
GEO2,64,33,0.008056640625,33,0.99,100,1.0,0.9652260780043598,0.006930041413833646,3,2
GEO2,64,47,0.011474609375,47,0.99,100,0.0,0.9999895559461441,1.3963500621769186e-05,3,2
GEO2,64,53,0.012939453125,53,0.99,100,0.0,0.9999989045655258,6.313363975507609e-07,3,2
GEO2,64,59,0.014404296875,59,0.99,100,0.0,0.9999999005468393,1.2414123916247004e-07,3,2
GEO2,64,64,0.015625,64,0.99,100,0.0,1.0,2.9852408677807924e-16,3,2
GEO2,64,70,0.01708984375,64,0.99,100,0.0,1.0,3.234923947455718e-16,3,2
GEO2,64,76,0.0185546875,64,0.99,100,0.0,1.0000000000000002,3.1026711450015386e-16,3,2
