ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,8,2,0.03125,0.99,200,1.0,0.3704637897394701,0.18811247580918075,1.0,0.1788852197635299,0.16375718389600935,0.975
canonical,8,3,0.046875,0.99,200,1.0,0.4394147813582363,0.20170762072271065,1.0,0.24404842733911725,0.1894388581839884,0.505
canonical,8,4,0.0625,0.99,200,1.0,0.5006392713395088,0.21699471264659925,0.995,0.30784131076240717,0.22709749972958168,0.435
canonical,8,5,0.078125,0.99,200,1.0,0.584332445709444,0.22281605925170608,1.0,0.4007697013269029,0.2522951041899194,0.245
canonical,8,6,0.09375,0.99,200,0.99,0.6469628235561813,0.2526803931655707,0.97,0.4934416216469634,0.3074040353642878,0.2
canonical,8,7,0.109375,0.99,200,0.94,0.7385604505037048,0.23473386274052313,0.905,0.6143487117544312,0.3131822141668337,0.11
canonical,8,7,0.109375,0.99,200,0.93,0.7479430221187802,0.2363886971111431,0.85,0.6348966443618094,0.31084299498653667,0.105
canonical,8,8,0.125,0.99,200,0.81,0.7999529880733027,0.22471423986924138,0.705,0.7157301238512863,0.30824328044962157,0.07
canonical,8,8,0.125,0.99,200,0.825,0.7968574824172956,0.24088346529004362,0.755,0.7178723584139974,0.31897636142309127,0.095
canonical,8,8,0.125,0.99,200,0.875,0.7776908080479689,0.25145974463765175,0.79,0.6869670045611105,0.31906210626092824,0.12
canonical,8,9,0.140625,0.99,200,0.715,0.8564934617846061,0.2138874771971052,0.635,0.7997699193973641,0.28907090000437613,0.095
canonical,8,9,0.140625,0.99,200,0.735,0.8361437542349002,0.23542412789724457,0.66,0.7709000307224828,0.30506277441586743,0.085
canonical,8,10,0.15625,0.99,200,0.585,0.8821506212242936,0.19518954605961988,0.555,0.826016357121734,0.2641881068456258,0.065
canonical,8,10,0.15625,0.99,200,0.575,0.9024239755097071,0.17591011876479112,0.54,0.8554161909735751,0.2428040395082546,0.045
canonical,8,10,0.15625,0.99,200,0.595,0.8942412258780124,0.20050533280960514,0.57,0.8491154311298965,0.2575803362797984,0.07
canonical,8,11,0.171875,0.99,200,0.49,0.9240791487775684,0.1600682930385666,0.435,0.888341369288318,0.21180855124418693,0.04
canonical,8,11,0.171875,0.99,200,0.455,0.9110973367665031,0.1914036503901266,0.41,0.8801852487663285,0.23994115161887195,0.055
canonical,8,12,0.1875,0.99,200,0.33,0.9466563538615941,0.13210844518922565,0.285,0.9206216382082654,0.18689630605100646,0.025
canonical,8,12,0.1875,0.99,200,0.285,0.9566399970687509,0.12826369645120828,0.275,0.9381856301223798,0.1685522263569478,0.025
canonical,8,12,0.1875,0.99,200,0.28,0.9575217082969318,0.1360621471356158,0.26,0.9421382263259116,0.17478103633259276,0.025
canonical,8,13,0.203125,0.99,200,0.24,0.9576393627603444,0.13376431731710162,0.205,0.9407013485193084,0.1800655501267411,0.01
canonical,8,13,0.203125,0.99,200,0.225,0.9448205975412235,0.17650749495579726,0.205,0.9290142872740084,0.21836384844719467,0.025
canonical,8,14,0.21875,0.99,200,0.135,0.9760966211301365,0.09869458134428154,0.14,0.9655432147072293,0.1348638780283969,0.0
canonical,8,14,0.21875,0.99,200,0.17,0.9627492193597571,0.13476509711772108,0.17,0.9467323694178407,0.17609649496330976,0.0
canonical,8,16,0.25,0.99,200,0.05,0.9933240318707977,0.05208357851667705,0.045,0.9903325601603788,0.07233606920155129,0.0
canonical,8,18,0.28125,0.99,200,0.035,0.9912265448122791,0.0710092686217418,0.04,0.9875724616483698,0.08983421260360304,0.0
canonical,8,20,0.3125,0.99,200,0.015,0.9993842224540948,0.005796884036309004,0.015,0.9988025220789367,0.011239783135830886,0.0
canonical,8,22,0.34375,0.99,200,0.01,0.9935815448758001,0.06395521931291873,0.01,0.9912946311393799,0.08665244198668355,0.0
canonical,8,2,0.03125,0.95,200,1.0,0.3732635230267657,0.18712527607085128,1.0,0.18263975106524682,0.16434857024499772,0.975
canonical,8,3,0.046875,0.95,200,1.0,0.43367194487290484,0.19683757899189536,1.0,0.23741068101606913,0.18484581515118292,0.57
canonical,8,4,0.0625,0.95,200,1.0,0.4591206247458291,0.21781469299275347,0.995,0.2680346794325504,0.2217524578184234,0.42
canonical,8,5,0.078125,0.95,200,0.985,0.5776585898131793,0.23507317867260163,1.0,0.39705547268672137,0.2587139957790457,0.24
canonical,8,6,0.09375,0.95,200,0.945,0.6498386541637333,0.23948495796021402,0.945,0.49239585391214874,0.2927947671718914,0.2
canonical,8,7,0.109375,0.95,200,0.815,0.735307312051956,0.24621497500412193,0.845,0.6173299587267929,0.3152688531087127,0.125
canonical,8,7,0.109375,0.95,200,0.795,0.7435982749455053,0.23124129955396475,0.78,0.6251298328482129,0.312726130679452,0.1
canonical,8,8,0.125,0.95,200,0.65,0.7971062617150326,0.23867665801665489,0.64,0.7114668132524474,0.31685020072679076,0.07
canonical,8,8,0.125,0.95,200,0.69,0.7942610587427462,0.2379495034547144,0.69,0.7091266773138066,0.3164628521272406,0.1
canonical,8,8,0.125,0.95,200,0.65,0.7952141045893262,0.2392696673131683,0.685,0.7135578917462277,0.31379098007972556,0.115
canonical,8,9,0.140625,0.95,200,0.555,0.8539611926037591,0.2155009874144398,0.56,0.7935336745118734,0.28165295780790983,0.09
canonical,8,9,0.140625,0.95,200,0.575,0.8404681151144436,0.2320018698941275,0.59,0.7752546073770626,0.29511811120862086,0.085
canonical,8,10,0.15625,0.95,200,0.41,0.8838257646594428,0.21298751793045095,0.455,0.8306499758488209,0.2752329197330115,0.065
canonical,8,10,0.15625,0.95,200,0.405,0.8963408963363787,0.19005055754370428,0.475,0.847712745606858,0.25089147823354513,0.045
canonical,8,10,0.15625,0.95,200,0.385,0.8945731257534981,0.19459074260885678,0.455,0.8498979682978051,0.259742426946773,0.07
canonical,8,11,0.171875,0.95,200,0.315,0.9247775289890907,0.1665909753695216,0.375,0.8894286516049925,0.2182792680349239,0.04
canonical,8,11,0.171875,0.95,200,0.28,0.9163925432760032,0.18262458919142127,0.34,0.884459622491158,0.23725638079854586,0.055
