ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
GEO2,8,2,0.03125,0.99,200,0.995,0.9170677343934281,0.045829214607103284,0.0,1.0,3.176285790145165e-16,1.0
GEO2,8,2,0.03125,0.99,200,0.995,0.911678223576634,0.04623166384629179,0.0,1.0,3.481748618431695e-16,1.0
GEO2,8,2,0.03125,0.99,200,0.985,0.9092484382572599,0.04573987066009195,0.0,1.0,3.3693028157463266e-16,1.0
GEO2,8,3,0.046875,0.99,200,0.96,0.9536248493735553,0.02704869345847679,0.0,1.0,3.2887721975957407e-16,0.25
GEO2,8,3,0.046875,0.99,200,0.975,0.9543621342796668,0.029474793591009716,0.0,1.0,3.5966771123441403e-16,0.29
GEO2,8,3,0.046875,0.99,200,0.95,0.9554092746575966,0.02785344007041358,0.0,1.0,3.4273359795629356e-16,0.28
GEO2,8,3,0.046875,0.99,200,0.965,0.9553137854655296,0.026942876459897867,0.0,1.0000000000000002,3.069721490933317e-16,0.295
GEO2,8,4,0.0625,0.99,200,0.765,0.9790325664914892,0.015986458728474078,0.0,1.0,3.4586610227916233e-16,0.035
GEO2,8,4,0.0625,0.99,200,0.76,0.9782171680665241,0.015078979599030222,0.0,1.0,3.1046568547376115e-16,0.06
GEO2,8,4,0.0625,0.99,200,0.795,0.9770351226200101,0.017312968375205063,0.0,1.0,3.1956299750000593e-16,0.035
GEO2,8,4,0.0625,0.99,200,0.745,0.9767757459800059,0.017522129773861014,0.0,1.0,3.704719578548584e-16,0.035
GEO2,8,5,0.078125,0.99,200,0.37,0.9900079899256238,0.009594364912304185,0.0,1.0,3.137239612748209e-16,0.015
GEO2,8,5,0.078125,0.99,200,0.45,0.9892805219560927,0.007830988355505875,0.0,1.0,3.393906570810573e-16,0.0
GEO2,8,5,0.078125,0.99,200,0.335,0.9904869096400385,0.00961222470322587,0.0,1.0,3.498523971987295e-16,0.005
GEO2,8,6,0.09375,0.99,200,0.07,0.9967809769894765,0.004149449753589993,0.0,1.0,3.729589311216769e-16,0.0
GEO2,8,6,0.09375,0.99,200,0.075,0.9964872366214292,0.0037231850304840783,0.0,1.0,3.675492212195508e-16,0.0
GEO2,8,6,0.09375,0.99,200,0.1,0.9963459332196862,0.004411985537393999,0.0,1.0,3.292517953021194e-16,0.0
GEO2,8,6,0.09375,0.99,200,0.105,0.9959238032401129,0.004668806749750145,0.0,1.0,3.436315130343406e-16,0.0
GEO2,8,7,0.109375,0.99,200,0.01,0.9989524307890708,0.0027136991964505394,0.0,1.0000000000000002,2.875884829609236e-16,0.0
GEO2,8,7,0.109375,0.99,200,0.0,0.9994425130010238,0.0008012484374645747,0.0,1.0,3.3766115072321297e-16,0.0
GEO2,8,7,0.109375,0.99,200,0.0,0.999267992958635,0.0014177519857340032,0.0,1.0,3.7238012298709097e-16,0.0
GEO2,8,7,0.109375,0.99,200,0.015,0.9989750823088793,0.002122030007524473,0.0,1.0000000000000002,3.0078644428819395e-16,0.0
GEO2,8,8,0.125,0.99,200,0.0,0.9999200703668295,0.0002431520412457176,0.0,1.0,3.443481593039715e-16,0.0
GEO2,8,9,0.140625,0.99,200,0.0,0.9999959876165412,4.402201887841198e-05,0.0,1.0000000000000002,3.176285790145165e-16,0.0
GEO2,8,10,0.15625,0.99,200,0.0,0.9999992773131184,6.280709533807983e-06,0.0,1.0,3.550978531601129e-16,0.0
GEO2,8,12,0.1875,0.99,200,0.0,0.9999998475166407,3.6619421498290117e-07,0.0,1.0,3.366557965746321e-16,0.0
GEO2,8,13,0.203125,0.99,200,0.0,0.999999805739801,9.640556383464155e-07,0.0,1.0,3.552713678800501e-16,0.0
GEO2,16,2,0.0078125,0.99,200,1.0,0.8740965099357291,0.04046003127470434,0.0,1.0,3.263375893225244e-16,1.0
GEO2,16,3,0.01171875,0.99,200,1.0,0.9143734340162549,0.029646745984961725,0.0,1.0,3.338062355056716e-16,0.35
GEO2,16,4,0.015625,0.99,200,1.0,0.9390670249673596,0.024028931100288673,0.0,1.0,3.433623850622095e-16,0.035
GEO2,16,5,0.01953125,0.99,200,1.0,0.9519582741153436,0.018979650176216313,0.0,1.0,3.0546268830361724e-16,0.02
GEO2,16,6,0.0234375,0.99,200,0.985,0.964204730542034,0.015121228756023264,0.0,1.0,3.124444542972402e-16,0.0
GEO2,16,6,0.0234375,0.99,200,0.995,0.9658225718826116,0.01334994108392502,0.0,1.0,2.987304636342383e-16,0.0
GEO2,16,7,0.02734375,0.99,200,0.95,0.9760445951133618,0.01179889662139788,0.0,1.0,3.1811328642149314e-16,0.0
GEO2,16,7,0.02734375,0.99,200,0.935,0.9747167912474822,0.011853291323653283,0.0,1.0,3.1937008290500226e-16,0.0
GEO2,16,8,0.03125,0.99,200,0.765,0.9828445372416763,0.008524522629812554,0.0,1.0,2.901486683220429e-16,0.0
GEO2,16,8,0.03125,0.99,200,0.775,0.9831701761092302,0.008266524753879526,0.0,1.0,3.33251893187639e-16,0.0
GEO2,16,9,0.03515625,0.99,200,0.525,0.9878678407712681,0.007880599404222671,0.0,1.0,3.3784362096118547e-16,0.0
GEO2,16,9,0.03515625,0.99,200,0.525,0.9885092932185292,0.006366953170563333,0.0,1.0,3.1470465751267366e-16,0.0
