d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
8,2,0.005,0.99,50,1.0,1.0,1.0,0.9127353063210454,0.046736920030267276,0.32147856814192666,0.15548327780850138,GEO2
8,2,0.01,0.99,50,1.0,1.0,1.0,0.9132479526343724,0.057836276040105036,0.3157178442454567,0.16752328271373573,GEO2
8,2,0.015,0.99,50,1.0,1.0,1.0,0.9123464637455457,0.05027602400519841,0.38830285536954634,0.14355148067959453,GEO2
8,2,0.02,0.99,50,1.0,1.0,1.0,0.9091184352924538,0.05060039828751765,0.32077129691228956,0.1624542186557136,GEO2
8,2,0.025,0.99,50,1.0,1.0,1.0,0.906094909213973,0.05119678786224598,0.3458618450864319,0.13690762181704227,GEO2
8,2,0.03,0.99,50,1.0,1.0,1.0,0.9054665461243272,0.05000347393180967,0.362929640852425,0.16522785640806034,GEO2
8,2,0.035,0.99,50,1.0,1.0,1.0,0.9142519185517952,0.05200890548880151,0.3587947368279498,0.1561701558359593,GEO2
8,3,0.04,0.99,50,0.94,1.0,0.26,0.9577279652770504,0.02219159919391731,0.6284852014680379,0.13278359462540773,GEO2
8,3,0.05,0.99,50,0.96,1.0,0.36,0.9522919520940644,0.03034493081447718,0.6391100364995222,0.12166130151837583,GEO2
8,4,0.06,0.99,50,0.76,1.0,0.02,0.9790638031113786,0.012512926762371973,0.8837031220765698,0.06713387936441646,GEO2
8,5,0.08,0.99,50,0.28,0.58,0.0,0.9920161065475286,0.006940406981297213,0.9843224678995572,0.013709076010154028,GEO2
8,6,0.1,0.99,50,0.08,0.0,0.0,0.9966501703790078,0.0035112132334595213,0.9998789371078999,0.0008473789203542851,GEO2
16,2,0.005,0.99,50,1.0,1.0,1.0,0.889021588747352,0.03518351489192573,0.16952131186730043,0.08290558954915883,GEO2
16,3,0.01,0.99,50,1.0,1.0,0.38,0.9080360482734159,0.025215167382373883,0.3203449087471109,0.08058288027737466,GEO2
16,4,0.015,0.99,50,1.0,1.0,0.0,0.9397242359759965,0.02066423498001254,0.520292788773954,0.08710107143657038,GEO2
16,5,0.02,0.99,50,1.0,1.0,0.0,0.9519146824511728,0.02303289768923909,0.6613806710336548,0.08818342411533464,GEO2
16,6,0.025,0.99,50,0.98,1.0,0.0,0.9665682378259103,0.013781095017849602,0.7709456548244248,0.059142373489040195,GEO2
16,8,0.03,0.99,50,0.9,1.0,0.0,0.9826290271586174,0.007307354162156277,0.9342092889168064,0.034140942079741984,GEO2
16,9,0.035,0.99,50,0.36,0.9,0.0,0.989104159949569,0.006767306905402779,0.9750913076741932,0.014879145370010257,GEO2
16,10,0.04,0.99,50,0.26,0.14,0.0,0.9921023887579977,0.004922644165366153,0.9949139917908617,0.0057852853146485245,GEO2
16,13,0.05,0.99,50,0.0,0.0,0.0,0.9985498793479362,0.0013629439985605332,0.9999999893274776,1.4194895403756072e-08,GEO2
16,15,0.06,0.99,50,0.0,0.0,0.0,0.999639709846726,0.00046274939740239223,0.9999999997984262,6.181519616124317e-10,GEO2
16,20,0.08,0.99,50,0.0,0.0,0.0,0.9999932857368803,1.2898958211008106e-05,1.0,2.7866376757248753e-16,GEO2
16,26,0.1,0.99,50,0.0,0.0,0.0,0.9999978362601257,1.4095116897037266e-06,1.0000000000000002,2.682975169497797e-16,GEO2
32,5,0.005,0.99,50,1.0,1.0,0.04,0.9034701300673232,0.027940176655021267,0.3565211602014945,0.055526782343141554,GEO2
32,10,0.01,0.99,50,1.0,1.0,0.0,0.9532375532845141,0.017626619444631245,0.7209162904930096,0.04197996231763236,GEO2
32,15,0.015,0.99,50,0.96,1.0,0.0,0.9798613200224122,0.00700009434682358,0.9277958718696884,0.019398883743740263,GEO2
32,20,0.02,0.99,50,0.3,0.02,0.0,0.9915334857800663,0.003300026022017144,0.9965458663965765,0.002226636376457277,GEO2
32,26,0.025,0.99,50,0.04,0.0,0.0,0.9960578544869355,0.0022854937065123824,0.9999994875122604,5.033255444087597e-07,GEO2
32,31,0.03,0.99,50,0.0,0.0,0.0,0.9988694755797741,0.000834168573939038,0.999999999638826,1.1822195888566467e-09,GEO2
32,36,0.035,0.99,50,0.0,0.0,0.0,0.9993929945374971,0.0004050684102862798,1.0000000000000002,2.8435583831733386e-16,GEO2
32,41,0.04,0.99,50,0.0,0.0,0.0,0.9998183574333637,0.0002740013897454397,1.0000000000000002,2.3863339371437896e-16,GEO2
32,51,0.05,0.99,50,0.0,0.0,0.0,0.9999357223512007,7.36324882849324e-05,1.0,2.808666774861361e-16,GEO2
32,61,0.06,0.99,50,0.0,0.0,0.0,0.9999410676520434,9.314073655139178e-05,1.0000000000000002,2.6552672822924614e-16,GEO2
32,82,0.08,0.99,50,0.0,0.0,0.0,0.9999774238406038,2.0768264110461303e-05,1.0000000000000002,2.1925147983971603e-16,GEO2
