d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
8,2,0.01,0.99,10,1.0,1.0,1.0,0.9268766047939824,0.029894584844678607,0.43670891811123064,0.14426734349685136,GEO2
8,2,0.021147425268811283,0.99,10,1.0,1.0,1.0,0.9342625747533215,0.03830683298087188,0.36340292419075687,0.13216184151659763,GEO2
8,3,0.044721359549995794,0.99,10,1.0,1.0,0.4,0.950333407058476,0.03200138308181836,0.586947516742384,0.14443680551362156,GEO2
8,6,0.09457416090031759,0.99,10,0.1,0.0,0.0,0.996941861811299,0.005716302392429099,0.9999999971274317,4.815190317824826e-09,GEO2
8,13,0.20000000000000004,0.99,10,0.0,0.0,0.0,0.9999997605953169,1.996250853791552e-07,1.0,2.999657430470547e-16,GEO2
16,3,0.01,0.99,10,1.0,1.0,0.5,0.92422315330958,0.015463053641582982,0.3592839608373465,0.11986240373087964,GEO2
16,5,0.021147425268811283,0.99,10,1.0,1.0,0.0,0.9515531346723082,0.015890723094972754,0.678724341271107,0.07501337831051721,GEO2
16,11,0.044721359549995794,0.99,10,0.0,0.0,0.0,0.9959324936826841,0.002398479950834931,0.9998688190891022,0.0003058947808015202,GEO2
16,24,0.09457416090031759,0.99,10,0.0,0.0,0.0,0.9999973771150896,1.9980704754004875e-06,1.0,5.15985034193911e-16,GEO2
16,51,0.20000000000000004,0.99,10,0.0,0.0,0.0,0.9999991209564577,6.696159575051676e-07,1.0000000000000004,3.21773202442742e-16,GEO2
