d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
8,2,0.01,0.99,100,1.0,1.0,0.96,0.3654207825355733,0.17552265121089738,0.24558478024499877,0.14026975835683148,canonical
8,2,0.01,0.95,100,1.0,1.0,0.96,0.3654207825355733,0.17552265121089738,0.24558478024499877,0.14026975835683148,canonical
8,2,0.01,0.9,100,1.0,1.0,0.96,0.3654207825355733,0.17552265121089738,0.24558478024499877,0.14026975835683148,canonical
8,2,0.012142802934538581,0.99,100,1.0,1.0,0.96,0.3908267788385784,0.19511232715452592,0.26341871464232997,0.16292700950590605,canonical
8,2,0.012142802934538581,0.95,100,1.0,1.0,0.96,0.3908267788385784,0.19511232715452592,0.26341871464232997,0.16292700950590605,canonical
8,2,0.012142802934538581,0.9,100,1.0,1.0,0.96,0.3908267788385784,0.19511232715452592,0.26341871464232997,0.16292700950590605,canonical
8,2,0.014744766310703877,0.99,100,1.0,1.0,0.96,0.36424992377520354,0.15165511817808017,0.23452381998948751,0.12839408004708971,canonical
8,2,0.014744766310703877,0.95,100,1.0,1.0,0.96,0.36424992377520354,0.15165511817808017,0.23452381998948751,0.12839408004708971,canonical
8,2,0.014744766310703877,0.9,100,1.0,1.0,0.96,0.36424992377520354,0.15165511817808017,0.23452381998948751,0.12839408004708971,canonical
8,2,0.017904279162670064,0.99,100,1.0,1.0,0.96,0.36332666068342917,0.18558924975056398,0.2476429736792057,0.16396625956270552,canonical
8,2,0.017904279162670064,0.95,100,1.0,1.0,0.96,0.36332666068342917,0.18558924975056398,0.2476429736792057,0.16396625956270552,canonical
8,2,0.017904279162670064,0.9,100,1.0,1.0,0.96,0.36332666068342917,0.18558924975056398,0.2476429736792057,0.16396625956270552,canonical
8,2,0.0217408133557268,0.99,100,1.0,1.0,0.96,0.37662919016406243,0.1631841497399173,0.22960554501671696,0.14446168971751863,canonical
8,2,0.0217408133557268,0.95,100,1.0,1.0,0.96,0.37662919016406243,0.1631841497399173,0.22960554501671696,0.14446168971751863,canonical
8,2,0.0217408133557268,0.9,100,1.0,1.0,0.96,0.37662919016406243,0.1631841497399173,0.22960554501671696,0.14446168971751863,canonical
8,2,0.026399441221517498,0.99,100,1.0,1.0,0.96,0.39213311004561824,0.1818130308954977,0.2871347878676518,0.15683778184153155,canonical
8,2,0.026399441221517498,0.95,100,1.0,1.0,0.96,0.39213311004561824,0.1818130308954977,0.2871347878676518,0.15683778184153155,canonical
8,2,0.026399441221517498,0.9,100,1.0,1.0,0.96,0.39213311004561824,0.1818130308954977,0.2871347878676518,0.15683778184153155,canonical
8,2,0.03205632123348214,0.99,100,1.0,1.0,0.96,0.38064824861470276,0.18059679186706848,0.2578677516901555,0.15917651001545233,canonical
8,2,0.03205632123348214,0.95,100,1.0,1.0,0.96,0.38064824861470276,0.18059679186706848,0.2578677516901555,0.15917651001545233,canonical
8,2,0.03205632123348214,0.9,100,1.0,1.0,0.96,0.38064824861470276,0.18059679186706848,0.2578677516901555,0.15917651001545233,canonical
8,2,0.03892535915444382,0.99,100,1.0,1.0,0.96,0.3886873762620203,0.16596746333352655,0.25088538817637795,0.12935387763839096,canonical
8,2,0.03892535915444382,0.95,100,1.0,1.0,0.96,0.3886873762620203,0.16596746333352655,0.25088538817637795,0.12935387763839096,canonical
8,2,0.03892535915444382,0.9,100,1.0,1.0,0.96,0.3886873762620203,0.16596746333352655,0.25088538817637795,0.12935387763839096,canonical
8,3,0.047266296536854886,0.99,100,1.0,1.0,0.64,0.4491023404693225,0.21593153797458747,0.41097413699407126,0.18040746216046377,canonical
8,3,0.047266296536854886,0.95,100,1.0,1.0,0.64,0.4491023404693225,0.21593153797458747,0.41097413699407126,0.18040746216046377,canonical
8,3,0.047266296536854886,0.9,100,0.98,1.0,0.64,0.4491023404693225,0.21593153797458747,0.41097413699407126,0.18040746216046377,canonical
8,4,0.0573945324292492,0.99,100,1.0,1.0,0.33,0.4998250502230265,0.20879453587535846,0.5437850452007982,0.16376772933339906,canonical
8,4,0.0573945324292492,0.95,100,1.0,0.99,0.33,0.4998250502230265,0.20879453587535846,0.5437850452007982,0.16376772933339906,canonical
8,4,0.0573945324292492,0.9,100,0.99,0.99,0.33,0.4998250502230265,0.20879453587535846,0.5437850452007982,0.16376772933339906,canonical
8,4,0.06969304968083573,0.99,100,1.0,1.0,0.38,0.5175391458301994,0.21012052596552747,0.5284694244420564,0.16822169362099637,canonical
8,4,0.06969304968083573,0.95,100,1.0,1.0,0.38,0.5175391458301994,0.21012052596552747,0.5284694244420564,0.16822169362099637,canonical
8,4,0.06969304968083573,0.9,100,0.99,1.0,0.38,0.5175391458301994,0.21012052596552747,0.5284694244420564,0.16822169362099637,canonical
8,5,0.08462689681813947,0.99,100,1.0,1.0,0.34,0.5260490489335222,0.23388074337157355,0.6469708133579033,0.1612971531127481,canonical
8,5,0.08462689681813947,0.95,100,1.0,0.99,0.34,0.5260490489335222,0.23388074337157355,0.6469708133579033,0.1612971531127481,canonical
8,5,0.08462689681813947,0.9,100,0.97,0.97,0.34,0.5260490489335222,0.23388074337157355,0.6469708133579033,0.1612971531127481,canonical
8,7,0.10276077310241975,0.99,100,0.95,0.73,0.18,0.6777236353368914,0.27887027785398355,0.902312845617763,0.12420495230623856,canonical
