d,K,rho,tau,n_trials,spectral_P,krylov_P,moment_P,spectral_mean,spectral_std,krylov_mean,krylov_std,ensemble
8,2,0.01,0.99,10,1.0,1.0,0.9,0.41487469916728514,0.1555565235877405,0.2633225954335716,0.13635736345578392,canonical
8,2,0.02514866859365871,0.99,10,1.0,1.0,0.9,0.40600991409426984,0.11357485837456034,0.24539698531760287,0.0811703195792691,canonical
8,4,0.0632455532033676,0.99,10,1.0,1.0,0.3,0.4574324084337298,0.1575168134783033,0.45945683317778296,0.10693209058239153,canonical
8,10,0.15905414575341018,0.99,10,0.5,0.0,0.0,0.9667652947311527,0.04537620757622623,1.0,4.1093252186201184e-16,canonical
8,26,0.4,0.99,10,0.0,0.0,0.0,0.9999999852918597,1.8375688476914124e-08,1.0,4.1540741810552243e-16,canonical
16,3,0.01,0.99,10,1.0,1.0,0.8,0.22515172633353986,0.13768934382084724,0.21267508207407188,0.13279512378944322,canonical
16,6,0.02514866859365871,0.99,10,1.0,1.0,0.9,0.2209450832181549,0.1348128279104152,0.3292100761805198,0.08445989790927007,canonical
16,16,0.0632455532033676,0.99,10,0.9,0.0,0.3,0.6825045188092285,0.2977387473140461,1.0,2.9373740229761033e-16,canonical
16,41,0.15905414575341018,0.99,10,0.0,0.0,0.0,0.9999992295189399,9.461445349426903e-07,1.0,3.9094986940344543e-16,canonical
16,102,0.4,0.99,10,0.0,0.0,0.0,0.9999998991596053,7.860238491118077e-08,1.0,3.6821932062951477e-16,canonical
