run_id,timestamp,ensemble,criterion,tau,d,K,m,rho_K_over_d2,trials,successes_unreach,p_unreach,log10_p_unreach,mean_best_overlap,sem_best_overlap
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,2,,0.0022222222222222222,100,94,0.94,-0.026872146400301365,0.8579837242923111,0.003023123606317033
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,3,,0.0033333333333333335,100,77,0.77,-0.11350927482751812,0.880081624005539,0.002763440570016469
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,4,,0.0044444444444444444,100,43,0.43,-0.36653154442041347,0.9036386107117034,0.002358563565526373
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,5,,0.005555555555555556,100,21,0.21,-0.6777807052660807,0.9148269373099197,0.0019459893907302246
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,6,,0.006666666666666667,100,9,0.09,-1.0457574905606752,0.9279722324017139,0.0019142515971994536
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,7,,0.0077777777777777776,100,4,0.04,-1.3979400086720375,0.9366824712974835,0.001692096136201518
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,8,,0.008888888888888889,100,2,0.02,-1.6989700043360187,0.945341960725996,0.0015733775979833089
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,9,,0.01,100,2,0.02,-1.6989700043360187,0.9495397204300566,0.0016142221611012714
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,10,,0.011111111111111112,100,0,1e-12,-12.0,0.9595917108635758,0.001339372138346942
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,11,,0.012222222222222223,100,0,1e-12,-12.0,0.9642161375070007,0.0011515307321491356
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,12,,0.013333333333333334,100,0,1e-12,-12.0,0.9717619551916699,0.0010704096736777462
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,13,,0.014444444444444444,100,0,1e-12,-12.0,0.9763965097965575,0.000831736844729712
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.9,30,14,,0.015555555555555555,100,0,1e-12,-12.0,0.9808177125537675,0.0006905528754576264
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,2,,0.0022222222222222222,100,100,1.0,0.0,0.8579837242923111,0.003023123606317033
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,3,,0.0033333333333333335,100,100,1.0,0.0,0.880081624005539,0.002763440570016469
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,4,,0.0044444444444444444,100,99,0.99,-0.004364805402450088,0.9036386107117034,0.002358563565526373
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,5,,0.005555555555555556,100,98,0.98,-0.00877392430750515,0.9148269373099197,0.0019459893907302246
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,6,,0.006666666666666667,100,91,0.91,-0.040958607678906384,0.9279722324017139,0.0019142515971994536
Kmulti_921ccd64,2025-10-21T17:07:54.210817,GUE,spectral,0.95,30,7,,0.0077777777777777776,100,81,0.81,-0.09151498112135022,0.9366824712974835,0.001692096136201518
