d,K,rho,n_trials,tau,spectral_P_unreach,krylov_P_unreach,moment_P_unreach,spectral_mean,krylov_mean,time_s
16,2,0.0078125,30,0.99,1.0,0.0,1.0,0.8743440026007531,1.0,1.9360833168029785
16,3,0.01171875,30,0.99,1.0,0.0,0.4666666666666667,0.8950406177489909,1.0,2.4174728393554688
16,4,0.015625,30,0.99,1.0,0.0,0.03333333333333333,0.9283244712063919,1.0,3.5418031215667725
16,5,0.01953125,30,0.99,1.0,0.0,0.0,0.9490796945261535,1.0,3.307673215866089
16,6,0.0234375,30,0.99,0.9666666666666667,0.0,0.0,0.9604858191565534,1.0000000000000002,3.6243879795074463
16,7,0.02734375,30,0.99,0.9666666666666667,0.0,0.0,0.9702521423510748,1.0000000000000002,4.250012159347534
16,8,0.03125,30,0.99,0.8666666666666667,0.0,0.0,0.9731497783403978,1.0000000000000002,5.337767839431763
16,10,0.0390625,30,0.99,0.4,0.0,0.0,0.9899853679483146,1.0,7.154661178588867
16,13,0.05078125,30,0.99,0.03333333333333333,0.0,0.0,0.9977543447716837,1.0,14.098657131195068
16,16,0.0625,30,0.99,0.0,0.0,0.0,0.9997634561410783,1.0,12.945546865463257
16,20,0.078125,30,0.99,0.0,0.0,0.0,0.9999725983779444,1.0,5.787429094314575
16,26,0.1015625,30,0.99,0.0,0.0,0.0,0.9999968996419315,1.0,6.520525217056274
32,3,0.0029296875,30,0.99,1.0,0.0,0.26666666666666666,0.8549459256175389,1.0,1.6086969375610352
32,5,0.0048828125,30,0.99,1.0,0.0,0.0,0.8944233274018745,1.0000000000000002,2.7484290599823
32,8,0.0078125,30,0.99,1.0,0.0,0.0,0.9358586522747541,1.0,4.133669137954712
32,10,0.009765625,30,0.99,1.0,0.0,0.0,0.9462361801395305,1.0000000000000002,4.792510986328125
32,13,0.0126953125,30,0.99,1.0,0.0,0.0,0.9650236638543842,1.0,7.006200075149536
32,16,0.015625,30,0.99,0.9666666666666667,0.0,0.0,0.9803079552100168,1.0,8.955228805541992
32,20,0.01953125,30,0.99,0.5333333333333333,0.0,0.0,0.9887893026278168,1.0,12.172705173492432
32,26,0.025390625,30,0.99,0.0,0.0,0.0,0.9963873412987406,1.0000000000000002,17.614028215408325
32,32,0.03125,30,0.99,0.0,0.0,0.0,0.9981112819205153,1.0000000000000002,26.53249979019165
32,40,0.0390625,30,0.99,0.0,0.0,0.0,0.9993810611327186,1.0000000000000002,45.49703669548035
32,51,0.0498046875,30,0.99,0.0,0.0,0.0,0.9997891555904693,1.0,40.756409883499146
